replicate_id,unique_id,WCE,GFP,mCherry,Water
0,0,40.0,0.0,0.0,10.0
1,1,40.0,0.0,1.0,9.0
2,2,40.0,0.0,2.0,8.0
4,4,40.0,0.0,4.0,6.0
6,6,40.0,1.0,0.0,9.0
7,7,40.0,1.0,1.0,8.0
8,8,40.0,1.0,2.0,7.0
10,10,40.0,1.0,4.0,5.0
12,12,40.0,2.0,0.0,8.0
13,13,40.0,2.0,1.0,7.0
14,14,40.0,2.0,2.0,6.0
16,16,40.0,2.0,4.0,4.0
24,24,40.0,4.0,0.0,6.0
25,25,40.0,4.0,1.0,5.0
26,26,40.0,4.0,2.0,4.0
28,28,40.0,4.0,4.0,2.0
0,36,40.0,0.0,0.0,10.0
1,37,40.0,0.0,1.0,9.0
2,38,40.0,0.0,2.0,8.0
4,40,40.0,0.0,4.0,6.0
6,42,40.0,1.0,0.0,9.0
7,43,40.0,1.0,1.0,8.0
8,44,40.0,1.0,2.0,7.0
10,46,40.0,1.0,4.0,5.0
12,48,40.0,2.0,0.0,8.0
13,49,40.0,2.0,1.0,7.0
14,50,40.0,2.0,2.0,6.0
16,52,40.0,2.0,4.0,4.0
24,60,40.0,4.0,0.0,6.0
25,61,40.0,4.0,1.0,5.0
26,62,40.0,4.0,2.0,4.0
28,64,40.0,4.0,4.0,2.0
0,72,40.0,0.0,0.0,10.0
1,73,40.0,0.0,1.0,9.0
2,74,40.0,0.0,2.0,8.0
4,76,40.0,0.0,4.0,6.0
6,78,40.0,1.0,0.0,9.0
7,79,40.0,1.0,1.0,8.0
8,80,40.0,1.0,2.0,7.0
10,82,40.0,1.0,4.0,5.0
12,84,40.0,2.0,0.0,8.0
13,85,40.0,2.0,1.0,7.0
14,86,40.0,2.0,2.0,6.0
16,88,40.0,2.0,4.0,4.0
24,96,40.0,4.0,0.0,6.0
25,97,40.0,4.0,1.0,5.0
26,98,40.0,4.0,2.0,4.0
28,100,40.0,4.0,4.0,2.0

