Row,Column,Droplet
0,0,5
0,1,5
0,2,5
0,3,5
0,4,5
0,5,5
0,6,5
0,7,5
0,8,5
0,9,5
0,10,5
0,11,5
0,12,5
0,13,5
0,14,5
0,15,5
1,15,5
1,14,5
1,13,5
1,12,5
1,11,5
1,10,5
1,9,5
1,8,5
1,7,5
1,6,5
1,5,5
1,4,5
1,3,5
1,2,5
1,1,5
1,0,5
2,0,5
2,1,5
2,2,5
2,3,5
2,4,5
2,5,5
2,6,5
2,7,5
2,8,5
2,9,5
2,10,5
2,11,5
2,12,5
2,13,5
2,14,5
2,15,5
3,15,5
3,14,5
3,13,5
3,12,5
3,11,5
3,10,5
3,9,5
3,8,5
3,7,5
3,6,5
3,5,5
3,4,5
3,3,5
3,2,5
3,1,5
3,0,5
4,0,5
4,1,5
4,2,5
4,3,5
4,4,5
4,5,5
4,6,5
4,7,5
4,8,5
4,9,5
4,10,5
4,11,5
4,12,5
4,13,5
4,14,5
4,15,5
5,15,5
5,14,5
5,13,5
5,12,5
5,11,5
5,10,5
5,9,5
5,8,5
5,7,5
5,6,5
5,5,5
5,4,5
5,3,5
5,2,5
5,1,5
5,0,5
6,0,5
6,1,5
6,2,5
6,3,5
6,4,5
6,5,5
6,6,5
6,7,5
6,8,5
6,9,5
6,10,5
6,11,5
6,12,5
6,13,5
6,14,5
6,15,5
7,15,5
7,14,5
7,13,5
7,12,5
7,11,5
7,10,5
7,9,5
7,8,5
7,7,5
7,6,5
7,5,5
7,4,5
7,3,5
7,2,5
7,1,5
7,0,5
8,0,5
8,1,5
8,2,5
8,3,5
8,4,5
8,5,5
8,6,5
8,7,5
8,8,5
8,9,5
8,10,5
8,11,5
8,12,5
8,13,5
8,14,5
8,15,5
9,15,5
9,14,5
9,13,5
9,12,5
9,11,5
9,10,5
9,9,5
9,8,5
9,7,5
9,6,5
9,5,5
9,4,5
9,3,5
9,2,5
9,1,5
9,0,5
10,0,5
10,1,5
10,2,5
10,3,5
10,4,5
10,5,5
10,6,5
10,7,5
10,8,5
10,9,5
10,10,5
10,11,5
10,12,5
10,13,5
10,14,5
10,15,5
11,15,5
11,14,5
11,13,5
11,12,5
11,11,5
11,10,5
11,9,5
11,8,5
11,7,5
11,6,5
11,5,5
11,4,5
11,3,5
11,2,5
11,1,5
11,0,5
12,0,5
12,1,5
12,2,5
12,3,5
12,4,5
12,5,5
12,6,5
12,7,5
12,8,5
12,9,5
12,10,5
12,11,5
12,12,5
12,13,5
12,14,5
12,15,5
13,15,5
13,14,5
13,13,5
13,12,5
13,11,5
13,10,5
13,9,5
13,8,5
13,7,5
13,6,5
13,5,5
13,4,5
13,3,5
13,2,5
13,1,5
13,0,5
14,0,5
14,1,5
14,2,5
14,3,5
14,4,5
14,5,5
14,6,5
14,7,5
14,8,5
14,9,5
14,10,5
14,11,5
14,12,5
14,13,5
14,14,5
14,15,5
15,15,5
15,14,5
15,13,5
15,12,5
15,11,5
15,10,5
15,9,5
15,8,5
15,7,5
15,6,5
15,5,5
15,4,5
15,3,5
15,2,5
15,1,5
15,0,5
16,0,5
16,1,5
16,2,5
16,3,5
16,4,5
16,5,5
16,6,5
16,7,5
16,8,5
16,9,5
16,10,5
16,11,5
16,12,5
16,13,5
16,14,5
16,15,5
17,15,5
17,14,5
17,13,5
17,12,5
17,11,5
17,10,5
17,9,5
17,8,5
17,7,5
17,6,5
17,5,5
17,4,5
17,3,5
17,2,5
17,1,5
17,0,5
18,0,5
18,1,5
18,2,5
18,3,5
18,4,5
18,5,5
18,6,5
18,7,5
18,8,5
18,9,5
18,10,5
18,11,5
18,12,5
18,13,5
18,14,5
18,15,5
19,15,5
19,14,5
19,13,5
19,12,5
19,11,5
19,10,5
19,9,5
19,8,5
19,7,5
19,6,5
19,5,5
19,4,5
19,3,5
19,2,5
19,1,5
19,0,5
20,0,5
20,1,5
20,2,5
20,3,5
20,4,5
20,5,5
20,6,5
20,7,5
20,8,5
20,9,5
20,10,5
20,11,5
20,12,5
20,13,5
20,14,5
20,15,5
21,15,5
21,14,5
21,13,5
21,12,5
21,11,5
21,10,5
21,9,5
21,8,5
21,7,5
21,6,5
21,5,5
21,4,5
21,3,5
21,2,5
21,1,5
21,0,5
22,0,5
22,1,5
22,2,5
22,3,5
22,4,5
22,5,5
22,6,5
22,7,5
22,8,5
22,9,5
22,10,5
22,11,5
22,12,5
22,13,5
22,14,5
22,15,5
23,15,5
23,14,5
23,13,5
23,12,5
23,11,5
23,10,5
23,9,5
23,8,5
23,7,5
23,6,5
23,5,5
23,4,5
23,3,5
23,2,5
23,1,5
23,0,5
